iso_a3,NAME_LONG,1990,1995,2000,2005,2010,2015
AGO,Angola,1160,1150,924,705,561,477
BDI,Burundi,1220,1210,954,863,808,712
BEN,Benin,576,550,572,502,446,405
BFA,Burkina Faso,727,636,547,468,417,371
BWA,Botswana,243,238,311,276,169,129
CAF,Central African Republic,1290,1300,1200,1060,909,882
CIV,Cote d'Ivoire,745,711,671,742,717,645
CMR,Cameroon,728,749,750,729,676,596
COD,Dem. Rep. of the Congo,879,914,874,787,794,693
COG,Rep. of the Congo,603,634,653,596,509,442
COM,Comoros,635,563,499,436,388,335
CPV,Cabo Verde,256,150,83,54,51,42
DJI,Djibouti,517,452,401,341,275,229
DZA,Algeria,216,192,170,148,147,140
EGY,Egypt,106,83,63,52,40,33
ERI,Eritrea,1590,1100,733,619,579,501
ETH,Ethiopia,1250,1080,897,743,523,353
GAB,Gabon,422,405,405,370,322,291
GHA,Ghana,634,532,467,376,325,319
GIN,Guinea,1040,964,976,831,720,679
GMB,The Gambia,1030,977,887,807,753,706
GNB,Guinea-Bissau,907,780,800,714,570,549
GNQ,Equatorial Guinea,1310,1050,702,483,379,342
KEN,Kenya,687,698,759,728,605,510
LBR,Liberia,1500,1800,1270,1020,811,725
LBY,Libya,39,25,17,11,9,9
LSO,Lesotho,629,525,649,746,587,487
MAR,Morocco,317,257,221,190,153,121
MDG,Madagascar,778,644,536,508,436,353
MLI,Mali,1010,911,834,714,630,587
MOZ,Mozambique,1390,1150,915,762,619,489
MRT,Mauritania,859,824,813,750,723,602
MUS,Mauritius,81,60,40,39,59,53
MWI,Malawi,957,953,890,648,629,634
NAM,Namibia,338,320,352,390,319,265
NER,Niger,873,828,794,723,657,553
NGA,Nigeria,1350,1250,1170,946,867,814
RWA,Rwanda,1300,1260,1020,567,381,290
SDN,Sudan,744,648,544,440,349,311
SEN,Senegal,540,509,488,427,375,315
SLE,Sierra Leone,2630,2900,2650,1990,1630,1360
SOM,Somalia,1210,1190,1080,939,820,732
SSD,South Sudan,1730,1530,1310,1090,876,789
SWZ,Swaziland,635,537,586,595,436,389
TCD,Chad,1450,1430,1370,1170,1040,856
TGO,Togo,568,563,491,427,393,368
TON,Tonga,75,100,97,114,130,124
TUN,Tunisia,131,112,84,74,67,62
TZA,Tanzania,997,961,842,687,514,398
ZAF,South Africa,108,62,85,112,154,138
ZMB,Zambia,577,596,541,372,262,224
ZWE,Zimbabwe,440,449,590,629,446,443
